WKT,id,name,alt_name,latitude,longitude
"POINT (124.0242319 0.6995094)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.6995094,124.0242319
"POINT (121.4460727 -1.3203472)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.3203472,121.4460727
"POINT (119.9581798 -3.5350083)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.5350083,119.9581798
"POINT (122.1564374 -4.0096088)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.0096088,122.1564374
"POINT (119.2930018 -2.7937961)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.7937961,119.2930018
